trip_id,driver_id,trip_date,pickup_city,dropoff_city,distance_km,duration_min,fare_eur,status,comment
5034,1160,2024-02-20,Paris, NICE,9.8,30.0,17.58,completed,Probleme GPS  
5035,1034,2024-03-21,Lyon,Nice,7.9,18.0,12.46,completed,Client tres satisfait !!
5036,1210,2024-01-06,Marseille, NICE,5.1,14.0,9.57,completed,RAS
5037,1026,2024-03-19,Lyon,marseille,9.4,25.0,14.15,cancelled,
5038,1047,2024-03-16,Marseille, NICE,3.1,7.0,5.99,completed,
5039,1197,2024-01-26,Marseille,LYON ,1.9,4.0,5.29,completed,Trajet nuit - majoration
5040,1025,2024-02-27,Lyon,marseille,4.3,8.0,7.6,completed,Trajet nuit - majoration
5041,1076,2024-01-16,Paris,Nice,13.6,37.0,20.35,completed,retard depart
5042,1133,2024-03-09,Lyon,LYON ,10.7,31.0,16.88,cancelled,Client tres satisfait !!
5043,1080,2024-03-04,Paris,Nice,13.7,39.0,18.83,cancelled,RAS
5044,1005,2024-02-02,Lyon,marseille,5.9,13.0,9.27,completed,Trajet nuit - majoration
5045,1132,2024-01-07,Nice,LYON ,16.7,35.0,23.78,completed,annulation last minute
5046,1087,2024-03-29,Lyon,lyon,3.4,8.0,7.86,completed,Client tres satisfait !!
5047,9000,2024-02-10,Paris,Paris,4.4,11.0,8.69,completed,retard depart
5048,1206,2024-03-22,Lyon, NICE,16.5,51.0,23.8,completed,client VIP - a suivre
5049,1162,2024-03-02,Nice,lyon,10.3,31.0,14.03,completed,
5050,9056,2024-03-11,Paris,LYON ,13.8,43.0,21.82,cancelled,Trajet nuit - majoration
5051,1165,2024-03-10,Paris,  paris,10.7,32.0,14.76,cancelled,annulation last minute
5052,1051,2024-01-18,Marseille,marseille,6.5,20.0,11.41,cancelled,retard depart
5053,1003,2024-02-03,Paris,marseille,4.0,10.0,8.4,completed,Client tres satisfait !!
5054,1143,2024-02-12,Lyon,LYON ,2.3,4.0,5.52,completed,
5055,1211,2024-02-15,Paris, NICE,24.0,46.0,32.49,completed,client VIP - a suivre
5056,1206,2024-01-04,Paris,Paris,2.8,7.0,5.65,completed,Trajet nuit - majoration
5057,1137,2024-02-19,Lyon,lyon,20.0,43.0,24.75,completed,client VIP - a suivre
5058,1120,2024-01-15,Nice,  paris,9.9,20.0,15.52,completed,client VIP - a suivre
5059,1158,2024-03-08,Paris, NICE,10.9,34.0,19.3,completed,RAS
5060,1182,2024-03-03,Paris,LYON ,10.5,22.0,15.33,cancelled,Client tres satisfait !!
5061,1151,2024-03-24,Paris,marseille,12.8,40.0,20.25,cancelled,Trajet nuit - majoration
5062,1118,2024-03-08,Nice,marseille,5.5,16.0,10.43,completed,annulation last minute
5063,1061,2024-02-03,Marseille, NICE,1.6,4.0,4.31,completed,retard depart
5064,1003,2024-03-29,Paris,Nice,6.4,18.0,10.03,completed,
5065,1142,2024-02-07,Lyon,LYON ,12.2,28.0,17.94,completed,RAS
5066,1041,2024-01-30,Lyon,Nice,4.4,12.0,8.81,completed,Probleme GPS  
5067,1065,2024-03-23,Lyon,Nice,16.9,35.0,24.8,completed,annulation last minute
5068,1193,2024-02-03,Paris,LYON ,8.6,27.0,15.12,completed,annulation last minute
5069,1126,2024-01-07,Paris,LYON ,4.1,9.0,8.79,completed,retard depart
5070,1122,2024-02-12,Nice,LYON ,10.2,22.0,17.59,completed,RAS
5071,1083,2024-03-13,Lyon,marseille,,34.0,21.65,cancelled,annulation last minute
5072,1101,2024-01-18,Lyon,Nice,12.6,34.0,21.11,completed,Trajet nuit - majoration
5073,1120,2024-02-12,Lyon,marseille,0.5,1.0,3.26,completed,Client tres satisfait !!
5074,1207,2024-01-12,Marseille,lyon,16.5,44.0,27.52,completed,annulation last minute
5075,1144,2024-03-03,Nice,LYON ,3.2,6.0,7.19,cancelled,Probleme GPS  
5076,1018,2024-02-13,Lyon,Marseille  ,16.5,45.0,27.26,completed,client VIP - a suivre
5077,1209,2024-01-31,Paris, NICE,17.4,38.0,29.77,completed,Client tres satisfait !!
5078,1203,2024-01-21,Marseille,LYON ,4.0,9.0,7.85,completed,
5079,1150,2024-02-21,Marseille,Nice,4.6,9.0,9.03,completed,
5080,1177,2024-03-01,Paris,LYON ,14.2,32.0,21.78,completed,
5081,1018,2024-03-26,Marseille,Nice,7.2,16.0,13.48,cancelled,annulation last minute
5082,1127,2024-02-09,Nice,Nice,18.9,46.0,,completed,Trajet nuit - majoration
5083,9073,2024-01-15,Paris,LYON ,,45.0,35.42,completed,annulation last minute
5084,1072,2024-03-16,Marseille,  paris,4.1,8.0,8.65,completed,
5085,1042,2024-02-27,Paris,marseille,5.5,14.0,11.2,completed,Trajet nuit - majoration
5086,1143,2024-03-04,Paris,lyon,9.9,20.0,14.62,completed,
5087,1149,2024-01-09,Paris,Nice,1.6,4.0,4.83,completed,
5088,1107,2024-01-29,Lyon, NICE,2.4,7.0,6.05,completed,client VIP - a suivre
5089,1187,2024-03-10,Nice,Nice,5.0,12.0,10.34,completed,annulation last minute
5090,1188,2024-03-16,Lyon,Marseille  ,26.1,80.0,43.05,completed,Client tres satisfait !!
5091,1154,2024-02-09,Paris,LYON ,10.8,21.0,17.48,completed,client VIP - a suivre
5092,1197,2024-03-14,Paris,Paris,6.1,11.0,10.98,completed,Probleme GPS  
5093,1161,2024-03-17,Marseille, NICE,4.6,13.0,7.94,completed,Trajet nuit - majoration
5094,1025,2024-02-05,Marseille,  paris,4.0,11.0,8.85,completed,Client tres satisfait !!
5095,1175,2024-03-22,Marseille,Marseille  ,6.4,19.0,10.36,completed,
5096,1199,2024-01-27,Paris,Nice,6.1,11.0,11.42,completed,retard depart
5097,1044,2024-01-22,Marseille,marseille,8.0,23.0,14.48,completed,Trajet nuit - majoration
5098,1112,2024-03-03,Nice,lyon,12.4,29.0,18.88,completed,annulation last minute
5099,1123,2024-02-27,Nice,lyon,8.8,20.0,13.11,completed,retard depart
5100,1207,2024-01-13,Paris,  paris,14.7,30.0,20.06,cancelled,annulation last minute
5101,1135,2024-03-16,Marseille, NICE,7.7,25.0,14.27,completed,Probleme GPS  
5102,1101,2024-01-19,Lyon,Paris,22.8,43.0,33.4,completed,Trajet nuit - majoration
5103,1195,2024-03-14,Paris,Marseille  ,14.5,43.0,19.1,completed,
5104,1042,2024-01-01,Paris,marseille,10.6,29.0,17.96,completed,Client tres satisfait !!
5105,1010,2024-03-13,Lyon,Paris,12.4,35.0,17.69,completed,retard depart
5106,1105,2024-03-12,Paris,marseille,6.5,18.0,12.5,completed,Probleme GPS  
5107,1055,2024-03-12,Lyon,Marseille  ,8.0,24.0,12.54,completed,retard depart
5108,1155,2024-03-01,Lyon, NICE,7.8,16.0,11.86,cancelled,retard depart
5109,1204,2024-02-12,Marseille,Marseille  ,5.6,10.0,8.9,cancelled,Trajet nuit - majoration
5110,1191,2024-03-05,Paris,Paris,3.5,9.0,7.25,completed,annulation last minute
5111,1106,2024-01-26,Nice, NICE,12.8,29.0,19.46,cancelled,Probleme GPS  
5112,1135,2024-03-12,Marseille,Nice,16.0,32.0,26.11,completed,retard depart
5113,1091,2024-02-20,Marseille,marseille,11.8,24.0,18.22,completed,retard depart
5114,1137,2024-02-11,Marseille, NICE,8.8,20.0,13.69,completed,Trajet nuit - majoration
5115,1126,2024-02-16,Paris,  paris,28.6,54.0,37.7,completed,RAS
5116,1008,2024-02-21,Marseille,lyon,6.0,11.0,9.93,cancelled,Client tres satisfait !!
5117,1086,2024-01-04,Marseille,  paris,10.8,33.0,19.39,completed,Probleme GPS  
5118,1117,2024-01-13,Lyon,Paris,17.3,39.0,22.96,completed,Probleme GPS  
5119,1026,2024-01-23,Lyon,marseille,4.3,14.0,9.35,cancelled,client VIP - a suivre
5120,1142,2024-01-11,Nice,marseille,13.4,42.0,19.43,cancelled,RAS
5121,1127,2024-02-10,Lyon,marseille,23.6,47.0,29.5,completed,Trajet nuit - majoration
5122,1161,2024-03-01,Lyon,marseille,9.3,26.0,13.89,completed,
5123,1024,2024-02-29,Marseille,marseille,10.3,27.0,14.13,completed,Trajet nuit - majoration
5124,1217,2024-02-12,Marseille,marseille,6.0,17.0,11.47,cancelled,RAS
5125,1188,2024-03-18,Lyon,Paris,12.3,24.0,19.18,cancelled,
5126,1114,2024-02-21,Marseille, NICE,5.5,11.0,9.48,completed,RAS
5127,1044,2024-01-08,Lyon,Paris,8.9,17.0,15.24,completed,
5128,1175,2024-03-10,Marseille,lyon,3.2,8.0,7.03,completed,
5129,1165,2024-02-22,Nice, NICE,1.0,3.0,4.07,completed,RAS
5130,1085,2024-02-27,Lyon,Marseille  ,6.9,19.0,13.41,cancelled,Trajet nuit - majoration
5131,1091,2024-02-21,Paris,  paris,6.8,19.0,12.29,completed,annulation last minute
5132,1067,2024-02-20,Nice,lyon,7.2,23.0,13.36,completed,Trajet nuit - majoration
5133,1126,2024-01-09,Lyon,LYON ,14.2,39.0,23.75,cancelled,retard depart
5134,1002,2024-02-20,Paris,LYON ,16.3,30.0,24.43,completed,
5135,1015,2024-03-13,Paris, NICE,11.1,33.0,18.62,completed,Client tres satisfait !!
5136,1076,2024-01-28,Marseille,  paris,13.6,31.0,17.99,completed,Client tres satisfait !!
5137,1091,2024-02-24,Paris, NICE,5.6,10.0,10.78,completed,Trajet nuit - majoration
5138,1103,2024-01-03,Marseille, NICE,4.7,12.0,9.93,completed,retard depart
5139,1020,2024-02-01,Marseille,Marseille  ,12.5,39.0,16.78,completed,annulation last minute
5140,1075,2024-02-09,Paris,lyon,4.3,9.0,9.03,completed,Probleme GPS  
5141,9054,2024-03-30,Nice, NICE,3.9,10.0,8.61,completed,RAS
5142,1069,2024-01-20,Nice,  paris,37.0,76.0,47.38,completed,Client tres satisfait !!
5143,1120,2024-01-26,Lyon,Marseille  ,9.6,18.0,15.58,cancelled,
5144,9038,2024-02-07,Nice,LYON ,6.8,13.0,13.13,completed,
5145,1197,2024-03-31,Lyon,Nice,6.3,18.0,12.45,completed,Probleme GPS  
5146,1074,2024-03-18,Lyon,LYON ,3.3,10.0,6.34,cancelled,annulation last minute
5147,1206,2024-01-04,Lyon,marseille,11.0,22.0,16.52,completed,RAS
5148,1178,2024-01-22,Marseille,lyon,7.7,17.0,13.66,cancelled,client VIP - a suivre
5149,1031,2024-03-15,Nice,Nice,16.0,33.0,21.87,completed,RAS
5150,1030,2024-01-06,Lyon, NICE,12.7,23.0,18.53,cancelled,client VIP - a suivre
5151,1162,2024-03-18,Marseille,Paris,7.5,19.0,10.84,completed,retard depart
5152,1096,2024-01-26,Marseille,lyon,2.0,6.0,4.85,completed,Probleme GPS  
5153,1203,2024-03-24,Marseille,Marseille  ,9.7,26.0,15.9,completed,client VIP - a suivre
5154,1177,2024-01-27,Nice,marseille,9.1,21.0,15.48,completed,client VIP - a suivre
5155,1040,2024-02-09,Lyon,Nice,1.6,4.0,4.78,completed,Probleme GPS  
5156,1098,2024-03-01,Marseille,Marseille  ,11.9,23.0,20.22,completed,
5157,1020,2024-01-12,Lyon,Paris,4.2,8.0,7.99,cancelled,client VIP - a suivre
5158,1220,2024-02-20,Lyon,Paris,16.5,51.0,22.91,completed,RAS
5159,1010,2024-02-15,Lyon,Nice,8.8,25.0,12.25,completed,retard depart
5160,1091,2024-03-12,Marseille,LYON ,6.2,19.0,9.96,completed,
5161,1151,2024-03-31,Nice,LYON ,10.5,32.0,15.69,completed,Trajet nuit - majoration
5162,1211,2024-03-01,Lyon,LYON ,,27.0,14.51,completed,annulation last minute
5163,1025,2024-02-07,Lyon,LYON ,9.9,31.0,13.49,completed,
5164,1177,2024-02-06,Lyon,lyon,15.2,36.0,20.42,completed,Trajet nuit - majoration
5165,1185,2024-02-08,Nice,  paris,10.9,20.0,18.12,completed,Trajet nuit - majoration
5166,9082,2024-03-15,Lyon,lyon,5.8,11.0,10.71,completed,client VIP - a suivre
5167,1213,2024-01-30,Nice,Marseille  ,7.8,15.0,14.73,completed,Client tres satisfait !!
5168,1005,2024-01-16,Lyon, NICE,19.8,38.0,32.18,completed,
5169,1127,2024-01-31,Lyon,marseille,5.5,13.0,10.11,completed,client VIP - a suivre
5170,1121,2024-01-03,Marseille,  paris,11.7,33.0,16.17,cancelled,RAS
5171,1051,2024-01-10,Lyon, NICE,15.6,45.0,24.06,completed,annulation last minute
5172,1081,2024-01-09,Paris,  paris,12.4,33.0,16.52,completed,annulation last minute
5173,1055,2024-03-11,Lyon,lyon,9.7,19.0,15.26,completed,RAS
5174,1019,2024-03-06,Nice,lyon,10.6,30.0,16.23,cancelled,Probleme GPS  
5175,9036,2024-03-04,Paris,LYON ,12.9,30.0,19.45,completed,retard depart
5176,1083,2024-02-12,Lyon,lyon,5.4,10.0,9.2,completed,retard depart
5177,1171,2024-03-06,Paris,LYON ,9.2,20.0,15.77,completed,RAS
5178,1217,2024-01-15,Nice,LYON ,28.5,64.0,45.83,completed,RAS
5179,1181,2024-03-22,Nice, NICE,12.0,26.0,20.31,completed,RAS
5180,1080,2024-02-15,Marseille,Marseille  ,9.9,29.0,,completed,retard depart
5181,1068,2024-03-26,Lyon,Nice,7.3,21.0,12.49,completed,Probleme GPS  
5182,1212,2024-01-14,Marseille,Marseille  ,5.5,15.0,8.64,cancelled,client VIP - a suivre
5183,1054,2024-02-15,Paris,Marseille  ,10.8,22.0,18.28,completed,RAS
5184,1217,2024-03-04,Marseille, NICE,11.3,33.0,18.01,completed,client VIP - a suivre
5185,1005,2024-02-15,Nice,LYON ,8.8,24.0,13.37,cancelled,RAS
5186,1112,2024-02-10,Marseille,Nice,34.9,72.0,46.61,completed,
5187,1061,2024-01-16,Marseille,lyon,5.8,16.0,11.59,completed,
5188,1210,2024-02-04,Nice,Marseille  ,4.9,12.0,9.42,completed,Trajet nuit - majoration
5189,1006,2024-01-22,Lyon, NICE,7.4,18.0,12.4,completed,Client tres satisfait !!
5190,1164,2024-01-28,Nice,marseille,9.0,18.0,15.19,cancelled,annulation last minute
5191,1056,2024-03-03,Marseille,LYON ,5.3,13.0,9.43,completed,RAS
5192,1166,2024-02-27,Marseille,Marseille  ,10.7,21.0,16.79,completed,Client tres satisfait !!
5193,1044,2024-02-25,Marseille,Nice,11.4,23.0,16.69,completed,
5194,1108,2024-02-02,Paris,Nice,13.8,27.0,20.71,completed,retard depart
5195,9070,2024-03-28,Nice,Marseille  ,6.7,21.0,12.17,completed,retard depart
5196,1201,2024-01-08,Paris,Paris,18.9,42.0,23.67,completed,Trajet nuit - majoration
5197,9045,2024-02-01,Nice,Nice,13.2,30.0,22.27,completed,retard depart
5198,1176,2024-01-11,Marseille,  paris,5.7,13.0,9.58,completed,client VIP - a suivre
5199,1178,2024-01-31,Paris,marseille,5.3,16.0,10.14,completed,retard depart
5200,1187,2024-03-28,Nice,Marseille  ,7.7,20.0,13.44,completed,Client tres satisfait !!
5201,1164,2024-02-03,Marseille,marseille,11.4,35.0,18.76,completed,Client tres satisfait !!
5202,1070,2024-03-23,Marseille,lyon,12.4,28.0,19.91,completed,Client tres satisfait !!
5203,1086,2024-02-15,Lyon,Nice,13.2,26.0,23.35,completed,Probleme GPS  
5204,1126,2024-03-04,Paris, NICE,27.5,71.0,39.74,completed,Probleme GPS  
5205,1020,2024-02-11,Marseille, NICE,2.5,6.0,6.17,completed,Client tres satisfait !!
5206,1134,2024-01-25,Marseille,Paris,8.7,25.0,15.14,completed,RAS
5207,1006,2024-03-10,Nice, NICE,26.2,79.0,34.42,completed,RAS
5208,1027,2024-03-29,Marseille,Paris,14.1,35.0,20.01,cancelled,client VIP - a suivre
5209,1016,2024-01-24,Paris,marseille,4.7,15.0,8.67,completed,Trajet nuit - majoration
5210,1154,2024-03-11,Nice,lyon,10.4,27.0,15.38,completed,
5211,9002,2024-01-24,Paris, NICE,8.3,18.0,13.15,completed,Trajet nuit - majoration
5212,9052,2024-03-06,Marseille, NICE,8.2,20.0,13.12,cancelled,retard depart
5213,1210,2024-03-12,Nice,LYON ,6.6,12.0,11.75,completed,retard depart
5214,1100,2024-02-10,Marseille,lyon,9.9,29.0,14.48,completed,annulation last minute
5215,1134,2024-03-08,Nice,  paris,17.0,33.0,28.04,completed,RAS
5216,1156,2024-01-25,Paris,Paris,7.0,16.0,11.73,cancelled,annulation last minute
5217,1189,2024-01-08,Paris,Paris,13.3,34.0,21.83,completed,Probleme GPS  
5218,1129,2024-01-09,Lyon,Nice,14.6,27.0,19.15,completed,retard depart
5219,1174,2024-02-10,Nice,Marseille  ,18.8,36.0,27.6,completed,annulation last minute
5220,1154,2024-03-23,Paris,Marseille  ,5.2,14.0,8.29,completed,client VIP - a suivre
5221,1180,2024-01-12,Marseille,  paris,9.4,18.0,16.02,completed,annulation last minute
5222,1174,2024-02-11,Paris,LYON ,6.1,15.0,10.26,completed,Probleme GPS  
5223,1127,2024-03-05,Lyon,LYON ,9.9,23.0,18.09,completed,retard depart
5224,1051,2024-01-19,Paris,Marseille  ,9.8,21.0,14.87,completed,
5225,1032,2024-03-06,Lyon,Paris,4.4,9.0,8.58,completed,Client tres satisfait !!
5226,9004,2024-01-28,Lyon,lyon,10.2,29.0,15.03,cancelled,
5227,1106,2024-03-14,Paris, NICE,28.2,88.0,42.26,completed,Probleme GPS  
5228,1075,2024-02-22,Nice, NICE,12.4,25.0,19.04,completed,annulation last minute
5229,1193,2024-02-19,Marseille,  paris,3.7,12.0,7.26,completed,annulation last minute
5230,1089,2024-01-17,Marseille,LYON ,5.0,13.0,8.51,completed,Probleme GPS  
5231,1183,2024-02-12,Lyon,marseille,9.1,25.0,13.02,completed,Trajet nuit - majoration
5232,1022,2024-03-18,Marseille,Nice,5.1,14.0,8.42,completed,Client tres satisfait !!
5233,1166,2024-01-02,Marseille,lyon,18.3,51.0,31.77,cancelled,Client tres satisfait !!
5234,1063,2024-03-10,Marseille,LYON ,3.4,10.0,,completed,Trajet nuit - majoration
5235,1080,2024-02-14,Lyon,Nice,12.4,31.0,16.15,cancelled,client VIP - a suivre
5236,1002,2024-03-06,Marseille,LYON ,2.9,7.0,7.07,completed,Probleme GPS  
5237,1045,2024-03-01,Nice,LYON ,9.0,20.0,12.49,completed,retard depart
5238,1215,2024-02-09,Paris,LYON ,4.6,9.0,8.52,completed,RAS
5239,1219,2024-01-29,Lyon,LYON ,13.7,37.0,22.48,completed,
5240,1035,2024-02-27,Nice,Paris,16.6,31.0,28.35,completed,annulation last minute
5241,9092,2024-01-13,Paris,marseille,11.4,25.0,19.1,completed,Trajet nuit - majoration
5242,1085,2024-02-23,Lyon,marseille,17.0,33.0,25.14,completed,Probleme GPS  
5243,1035,2024-01-09,Marseille,marseille,1.3,3.0,4.56,completed,Probleme GPS  
5244,1061,2024-02-29,Paris,lyon,10.1,27.0,13.81,completed,retard depart
5245,1055,2024-02-27,Lyon, NICE,12.3,33.0,22.1,completed,Client tres satisfait !!
5246,1055,2024-01-08,Paris,Paris,13.3,32.0,22.78,completed,Probleme GPS  
5247,1030,2024-03-09,Nice,lyon,2.3,4.0,6.1,completed,client VIP - a suivre
5248,1123,2024-02-07,Paris,lyon,11.9,29.0,17.11,completed,Client tres satisfait !!
5249,1139,2024-03-12,Marseille,lyon,13.4,31.0,18.19,completed,Probleme GPS  
5250,1066,2024-01-04,Paris,LYON ,,28.0,16.96,cancelled,
5251,1082,2024-01-17,Marseille,Marseille  ,3.8,10.0,7.66,cancelled,annulation last minute
5252,1143,2024-02-14,Marseille,LYON ,6.5,16.0,11.35,completed,Trajet nuit - majoration
5253,1162,2024-01-18,Marseille,marseille,18.3,45.0,31.09,completed,RAS
5254,1022,2024-01-31,Marseille,lyon,,54.0,26.75,cancelled,Probleme GPS  
5255,1182,2024-03-01,Paris,marseille,12.2,35.0,17.82,completed,annulation last minute
5256,1097,2024-01-14,Marseille,LYON ,13.9,35.0,20.57,completed,
5257,1198,2024-03-02,Nice,Marseille  ,16.1,40.0,,cancelled,RAS
5258,1159,2024-01-10,Marseille,  paris,12.1,22.0,16.97,completed,
5259,1076,2024-01-16,Marseille,LYON ,18.0,56.0,23.59,cancelled,retard depart
5260,1143,2024-02-23,Nice,Marseille  ,17.7,40.0,29.14,completed,Probleme GPS  
5261,1014,2024-03-13,Lyon,lyon,33.1,71.0,50.58,completed,RAS
5262,1161,2024-01-16,Paris,  paris,6.7,21.0,11.65,cancelled,Trajet nuit - majoration
5263,1217,2024-01-28,Paris, NICE,6.8,19.0,11.25,completed,Client tres satisfait !!
5264,1132,2024-03-25,Lyon,Marseille  ,0.8,1.0,3.65,completed,annulation last minute
5265,1097,2024-03-31,Marseille,  paris,11.6,22.0,19.97,completed,RAS
5266,1111,2024-02-22,Nice,marseille,25.3,46.0,41.48,completed,Client tres satisfait !!
5267,1139,2024-02-10,Lyon,marseille,18.8,50.0,28.32,completed,
5268,1156,2024-02-01,Paris,LYON ,14.9,28.0,25.0,completed,
5269,1168,2024-02-25,Nice,LYON ,19.5,61.0,28.94,completed,retard depart
5270,1084,2024-02-23,Nice,LYON ,12.5,39.0,19.22,cancelled,Client tres satisfait !!
5271,1176,2024-01-27,Marseille,LYON ,7.8,20.0,14.46,completed,Client tres satisfait !!
5272,9059,2024-01-03,Nice,marseille,28.8,77.0,39.74,completed,Probleme GPS  
5273,1114,2024-01-14,Nice,marseille,11.9,26.0,17.95,completed,retard depart
5274,1054,2024-03-28,Marseille,LYON ,17.5,33.0,24.42,completed,
5275,1111,2024-02-08,Lyon,Nice,1.3,4.0,4.27,completed,Client tres satisfait !!
5276,1065,2024-02-13,Marseille,LYON ,1.5,3.0,4.56,completed,annulation last minute
5277,1208,2024-02-12,Lyon, NICE,10.3,20.0,17.23,completed,annulation last minute
5278,1079,2024-03-12,Paris,LYON ,5.1,11.0,9.21,completed,
5279,1148,2024-01-06,Lyon,Marseille  ,10.9,20.0,15.68,completed,Trajet nuit - majoration
5280,1119,2024-01-08,Paris,Paris,6.8,16.0,12.93,completed,Trajet nuit - majoration
5281,1203,2024-01-26,Paris, NICE,35.8,100.0,48.07,cancelled,Client tres satisfait !!
5282,1080,2024-02-14,Marseille,lyon,16.7,49.0,28.58,cancelled,RAS
5283,1168,2024-03-02,Marseille,Nice,20.6,55.0,27.3,completed,annulation last minute
5284,1030,2024-02-14,Paris,Paris,1.8,5.0,4.98,completed,RAS
5285,1028,2024-02-10,Marseille,Nice,14.8,35.0,22.75,cancelled,
5286,1118,2024-03-26,Paris,  paris,8.4,25.0,15.22,completed,annulation last minute
5287,1123,2024-01-15,Lyon,Nice,20.8,52.0,26.82,completed,Trajet nuit - majoration
5288,1157,2024-02-22,Nice,Nice,13.6,29.0,23.65,completed,RAS
5289,1219,2024-02-19,Lyon,LYON ,9.1,28.0,14.93,completed,RAS
5290,1181,2024-02-13,Nice,  paris,4.1,9.0,8.21,completed,Client tres satisfait !!
5291,1056,2024-03-14,Marseille,Marseille  ,10.2,19.0,16.32,cancelled,RAS
5292,1049,2024-01-25,Paris,Paris,18.1,39.0,22.74,completed,RAS
5293,1135,2024-03-27,Paris,marseille,21.5,50.0,31.49,completed,Probleme GPS  
5294,1082,2024-01-31,Marseille,Marseille  ,7.5,17.0,11.74,completed,Probleme GPS  
5295,1216,2024-02-19,Nice,LYON ,32.6,83.0,43.95,completed,annulation last minute
5296,1213,2024-02-17,Nice,marseille,17.3,53.0,27.14,completed,annulation last minute
5297,1088,2024-03-18,Lyon, NICE,5.1,11.0,9.38,completed,
5298,1123,2024-02-09,Lyon,lyon,4.4,11.0,7.55,completed,Client tres satisfait !!
5299,1158,2024-01-26,Nice,marseille,8.7,20.0,12.39,completed,Probleme GPS  
5300,1101,2024-01-02,Nice,Nice,7.4,22.0,11.33,completed,
5301,1037,2024-02-03,Paris,  paris,12.5,25.0,17.44,completed,retard depart
5302,1189,2024-03-16,Nice,  paris,9.6,19.0,15.98,cancelled,Probleme GPS  
5303,1218,2024-01-01,Nice,LYON ,7.9,20.0,11.89,completed,
5304,1146,2024-03-22,Paris, NICE,3.0,8.0,7.12,completed,annulation last minute
5305,1176,2024-02-19,Lyon,lyon,13.8,40.0,19.13,completed,annulation last minute
5306,1049,2024-01-13,Marseille,marseille,2.8,7.0,5.71,completed,Probleme GPS  
5307,1095,2024-01-28,Nice, NICE,17.3,50.0,29.11,cancelled,Probleme GPS  
5308,1151,2024-02-20,Paris,LYON ,2.0,5.0,5.0,completed,Probleme GPS  
5309,1145,2024-01-29,Paris,LYON ,2.7,5.0,6.04,cancelled,
5310,1207,2024-01-10,Nice,marseille,5.1,10.0,10.56,completed,Probleme GPS  
5311,1132,2024-03-01,Lyon,Marseille  ,7.0,13.0,13.51,completed,Probleme GPS  
5312,1034,2024-03-02,Marseille,Paris,6.1,14.0,11.39,cancelled,retard depart
5313,1121,2024-01-11,Nice, NICE,7.0,17.0,10.44,completed,Probleme GPS  
