driver_id,age,second_language,rating,city,years_active,status
1196,27.0,french,4.39,Marseille,8.0,active
1021,33.0,no,4.85,Paris,0.0,active
1100,27.0,nan,3.8,Marseille,11.0,suspended
1182,36.0,no,3.09,Lyon,4.0,inactive
1201,37.0,spanish,4.38,nan,9.0,active
1047,41.0,no,,Lyon,1.0,Active
1070,32.0,english,3.96,nan,5.0,active
1179,33.0,german,4.09,nan,7.0,active
1031,,English,4.3,Paris,8.0,active
1178,35.0,spanish,4.03,Marseille,5.0,active
1147,29.0,french,3.66,Paris,9.0,active
1057,32.0,English,2.82,Nice,3.0,suspended
1087,30.0,german,3.52,paris,1.0,inactive
1103,31.0,no,4.49,Nice,10.0,active
1060,42.0,english,4.52,Paris,1.0,active
1078,35.0,german,4.08,nan,1.0,suspended
1043,29.0,no,4.84,Lyon,2.0,nan
1058,46.0,german,4.03,Paris,2.0,active
1023,,no,4.47,PARIS,0.0,active
1194,46.0,german,4.65,paris,10.0,active
1064,39.0,english,4.15,Paris,10.0,suspended
1185,37.0,French,4.1,Paris,1.0,Active
1074,38.0,nan,3.86,Paris,6.0,active
1145,27.0,no,5.0,Paris,3.0,active
1121,26.0,french,4.57,nan,10.0,suspended
1160,25.0,No,,Marseille,1.0,inactive
1220,28.0,Spanish,4.54,Marseille,,active
1033,30.0,german,4.41,paris,4.0,suspended
1016,27.0,No,3.26,nan,4.0,active
1099,37.0,French,4.4,nan,1.0,active
1163,,nan,3.78,nan,5.0,active
1149,43.0,english,4.04,nan,6.0,active
1095,21.0,nan,4.42,Nice,10.0,Active
1152,26.0,english,3.41,Marseille,3.0,nan
1067,31.0,english,4.7,PARIS,3.0,nan
1171,29.0,French,3.99,Nice,8.0,inactive
1036,43.0,no,4.59,lyon,10.0,Active
1052,39.0,French,3.55,paris,4.0,active
1098,26.0,French,4.22,Lyon,1.0,inactive
1187,35.0,german,4.14,Lyon,11.0,nan
1168,37.0,no,3.66,Paris,3.0,active
1166,27.0,no,4.52,paris,11.0,Active
1176,121.0,no,3.99,Marseille,7.0,inactive
1029,37.0,english,4.83,Paris,2.0,suspended
1191,48.0,English,4.59,Nice,11.0,active
1109,41.0,English,3.92,nan,6.0,active
1204,39.0,no,4.21,Paris,3.0,active
1005,18.0,german,5.0,Marseille,5.0,active
1013,35.0,spanish,4.46,Marseille,8.0,active
1165,41.0,Spanish,3.59,Paris,1.0,inactive
1117,,no,4.75,Paris,9.0,active
1003,40.0,english,4.23,Nice,0.0,active
1050,35.0,nan,4.13,Marseille,10.0,inactive
1065,40.0,english,,Paris,0.0,active
1011,41.0,no,4.47,Nice,6.0,active
1088,34.0,no,4.62,lyon,,nan
1086,38.0,french,4.53,Marseille,11.0,inactive
1135,,nan,4.15,lyon,0.0,Active
1150,35.0,german,4.71,nan,11.0,active
1094,33.0,no,3.89,Paris,3.0,active
1206,34.0,french,3.75,Lyon,11.0,active
1208,24.0,no,4.46,nan,4.0,nan
1006,,english,,Marseille,1.0,suspended
1148,33.0,no,4.09,Paris,0.0,inactive
1211,41.0,english,,nan,4.0,active
1040,39.0,no,4.52,Paris,4.0,nan
1096,22.0,german,4.21,Nice,0.0,active
1059,27.0,english,5.0,Paris,3.0,active
1105,27.0,no,4.45,Marseille,0.0,Inactive
1155,34.0,nan,4.94,Lyon,4.0,active
1007,35.0,no,4.33,nan,1.0,suspended
1209,27.0,no,3.87,nan,8.0,active
1140,57.0,french,3.88,lyon,,active
1112,36.0,English,3.86,nan,2.0,active
1107,26.0,spanish,4.26,Paris,11.0,Active
1142,26.0,no,5.0,nan,11.0,active
1167,41.0,german,3.9,Nice,7.0,active
1066,40.0,no,4.26,Marseille,9.0,active
1213,,Spanish,3.45,Paris,10.0,active
1101,31.0,no,4.65,Paris,0.0,suspended
1144,36.0,Spanish,,Nice,5.0,suspended
1032,,german,5.0,Nice,1.0,nan
1119,47.0,english,4.22,Lyon,4.0,active
1120,32.0,French,3.97,Nice,5.0,inactive
1212,23.0,French,4.14,nan,4.0,inactive
1039,27.0,english,3.91,nan,7.0,active
1205,18.0,german,5.0,Lyon,4.0,inactive
1140,57.0,french,3.88,lyon,,active
1051,36.0,german,3.3,Nice,8.0,active
1085,24.0,no,4.08,Nice,10.0,ACTIVE
1170,34.0,no,4.42,Lyon,8.0,suspended
1174,24.0,Spanish,4.32,Lyon,7.0,ACTIVE
1076,40.0,No,4.2,nan,5.0,suspended
1125,,no,4.43,nan,8.0,suspended
1106,32.0,spanish,5.0,nan,5.0,suspended
1210,31.0,nan,4.39,nan,8.0,active
1009,34.0,french,4.84,nice,4.0,inactive
1041,40.0,english,3.87,Marseille,,nan
1111,37.0,French,3.68,Paris,7.0,active
1048,36.0,german,4.77,Lyon,10.0,Active
1190,47.0,no,3.74,Paris,0.0,inactive
1049,39.0,nan,3.38,PARIS,6.0,active
1019,41.0,no,4.15,Paris,1.0,nan
1044,36.0,german,4.48,Marseille,2.0,Inactive
1018,26.0,nan,4.07,Marseille,4.0,inactive
1091,39.0,french,3.1,Paris,11.0,active
1118,34.0,Spanish,4.67,Marseille,8.0,suspended
1041,40.0,english,3.5700000000000003,Marseille,,nan
1020,34.0,No,5.0,nan,9.0,inactive
1079,39.0,Spanish,5.0,Marseille,4.0,inactive
1216,42.0,nan,4.13,Marseille,8.0,suspended
1200,33.0,nan,3.43,Marseille,6.0,active
1073,27.0,nan,3.81,Marseille,4.0,nan
1069,41.0,No,4.63,Marseille,3.0,active
1137,37.0,english,4.66,Paris,7.0,active
1132,23.0,english,4.48,Marseille,9.0,Inactive
1002,,english,4.49,Marseille,1.0,inactive
1066,40.0,no,4.26,Marseille,9.0,active
1134,32.0,spanish,3.72,nan,7.0,Inactive
1188,24.0,no,4.16,nan,10.0,active
1169,33.0,no,4.66,nan,4.0,Inactive
1197,39.0,no,4.13,Marseille,3.0,active
1047,41.0,no,,Lyon,1.0,Active
1008,31.0,no,4.38,Nice,10.0,active
1143,17.0,german,3.69,Lyon,6.0,active
1045,35.0,no,4.16,Nice,10.0,suspended
1028,37.0,french,4.13,Paris,1.0,active
1186,46.0,french,3.33,Nice,8.0,Active
1139,50.0,nan,3.71,Marseille,9.0,Inactive
1108,31.0,english,4.15,Paris,4.0,suspended
1090,38.0,no,4.87,Paris,,ACTIVE
1202,45.0,no,4.1,Nice,7.0,active
1156,,French,3.99,Marseille,5.0,inactive
1024,250.0,no,4.1,Paris,2.0,nan
1097,23.0,spanish,4.17,Nice,4.0,active
1080,32.0,german,4.37,Marseille,1.0,active
1214,30.0,spanish,4.29,Paris,6.0,suspended
1193,31.0,Spanish,3.55,Lyon,3.0,active
1115,35.0,no,4.33,Marseille,1.0,active
1172,38.0,no,5.0,nan,5.0,active
1071,24.0,french,4.75,Paris,,inactive
1068,30.0,english,4.47,Marseille,6.0,active
1146,31.0,spanish,3.47,nan,7.0,nan
1153,21.0,english,4.56,Nice,,suspended
1012,40.0,no,4.29,Paris,8.0,active
1098,26.0,French,4.22,Lyon,1.0,inactive
1038,27.0,spanish,4.21,Paris,2.0,active
1075,35.0,English,4.97,Nice,,active
1130,27.0,nan,4.92,Nice,4.0,Inactive
1141,37.0,nan,4.42,Paris,2.0,active
1035,39.0,no,4.35,Lyon,2.0,inactive
1133,39.0,french,3.1,Nice,7.0,ACTIVE
1126,37.0,english,3.85,Lyon,4.0,inactive
1046,36.0,nan,4.53,nan,8.0,suspended
1161,26.0,german,3.46,Paris,9.0,suspended
1177,47.0,no,4.54,lyon,0.0,inactive
1093,31.0,nan,3.46,Paris,1.0,nan
1110,20.0,French,3.78,Marseille,6.0,suspended
1025,31.0,no,4.16,Marseille,7.0,active
1083,31.0,No,4.12,nice,1.0,active
1072,25.0,No,5.0,nan,6.0,nan
1162,28.0,no,4.57,nan,7.0,inactive
1077,31.0,spanish,5.0,Lyon,4.0,active
1014,43.0,no,3.88,Paris,3.0,inactive
1184,43.0,nan,5.0,Paris,2.0,suspended
1082,29.0,Spanish,5.0,Lyon,11.0,active
1092,,no,3.91,Lyon,2.0,inactive
1081,38.0,spanish,4.43,nan,2.0,suspended
1192,33.0,french,4.56,nan,5.0,inactive
1154,30.0,No,4.01,nan,0.0,active
